Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,79.379997,80.000000,79.300003,79.690002,71.448708,4760600
2014-05-28,79.750000,80.000000,79.269997,79.680000,71.439735,4002200
2014-05-29,79.879997,79.989998,79.440002,79.900002,71.636978,4408900
2014-05-30,79.769997,80.269997,79.580002,80.230003,71.932869,4528000
2014-06-02,80.250000,81.059998,80.169998,80.839996,72.479774,6817700
2014-06-03,80.190002,80.879997,80.150002,80.669998,72.750305,5477700
2014-06-04,80.320000,80.889999,80.059998,80.540001,72.633072,4961600
2014-06-05,80.669998,80.860001,80.279999,80.379997,72.488785,5666400
2014-06-06,80.580002,81.269997,80.510002,80.639999,72.723267,4460300
2014-06-09,80.629997,81.320000,80.419998,80.610001,72.696205,3718600
2014-06-10,80.260002,80.849998,80.220001,80.739998,72.813446,4249500
2014-06-11,80.459999,80.730003,79.760002,79.809998,71.974731,4918100
2014-06-12,79.730003,79.779999,78.199997,78.430000,70.730232,7643300
2014-06-13,78.489998,78.589996,77.750000,78.070000,70.405563,7971800
2014-06-16,77.959999,79.089996,77.959999,78.900002,71.154091,7164400
2014-06-17,78.839996,80.459999,78.730003,80.019997,72.164139,9587300
2014-06-18,80.029999,80.760002,79.790001,80.709999,72.786369,8071500
2014-06-19,80.709999,80.849998,79.949997,80.440002,72.542923,5095400
2014-06-20,80.690002,80.800003,79.860001,80.169998,72.299393,13661000
2014-06-23,80.160004,80.800003,79.970001,80.639999,72.723267,4920400
2014-06-24,80.379997,80.830002,79.830002,80.430000,72.533882,5579300
2014-06-25,80.360001,80.610001,80.120003,80.529999,72.624062,4486300
2014-06-26,80.449997,80.970001,80.120003,80.750000,72.822472,5165200
2014-06-27,80.650002,81.470001,80.629997,81.129997,73.165154,5011000
2014-06-30,81.019997,81.230003,80.480003,80.959999,73.011848,5045300
2014-07-01,81.320000,81.970001,81.220001,81.820000,73.787407,5234600
2014-07-02,81.839996,82.180000,81.620003,81.980003,73.931717,4185700
2014-07-03,82.070000,82.349998,81.800003,82.050003,73.994835,2764000
2014-07-07,81.730003,82.089996,81.139999,81.419998,73.426689,6071000
2014-07-08,81.419998,81.529999,80.550003,80.760002,72.831482,7322900
2014-07-09,81.110001,81.230003,80.180000,80.730003,72.804443,6980600
2014-07-10,79.050003,79.580002,77.949997,79.400002,71.604996,11530900
2014-07-11,79.589996,79.900002,79.209999,79.610001,71.794395,4746400
2014-07-14,79.919998,80.059998,79.190002,79.459999,71.659111,7657200
2014-07-15,79.500000,80.059998,79.419998,79.860001,72.019829,6051900
2014-07-16,80.040001,80.239998,79.379997,79.660004,71.839493,9033700
2014-07-17,79.449997,79.879997,79.230003,79.550003,71.740273,7697300
2014-07-18,79.800003,80.279999,79.449997,80.080002,72.218254,5323200
2014-07-21,80.010002,80.029999,79.529999,79.709999,71.884583,4112800
2014-07-22,80.360001,80.750000,80.199997,80.540001,72.633072,6336100
2014-07-23,80.459999,81.089996,80.209999,81.019997,73.065964,3669200
2014-07-24,81.190002,81.540001,80.889999,81.199997,73.228279,4359600
2014-07-25,81.099998,81.300003,80.889999,81.029999,73.074959,4680100
2014-07-28,81.199997,81.339996,80.660004,81.070000,73.111061,3441600
2014-07-29,81.209999,81.809998,80.889999,80.980003,73.029892,4536500
2014-07-30,81.500000,81.849998,81.070000,81.760002,73.733330,5807300
2014-07-31,81.089996,81.580002,80.849998,80.849998,72.912659,5748900
2014-08-01,80.559998,81.080002,79.739998,79.750000,71.920647,8708000
2014-08-04,79.699997,80.250000,79.660004,80.029999,72.173157,7025000
2014-08-05,79.779999,80.860001,79.779999,80.029999,72.173157,5895500
2014-08-06,79.940002,81.019997,79.849998,80.519997,72.615051,4228200
2014-08-07,80.750000,81.070000,80.290001,80.470001,72.569962,4045900
2014-08-08,81.070000,82.459999,80.879997,82.430000,74.337532,7226500
2014-08-11,82.610001,83.070000,82.500000,82.879997,74.743340,3952000
2014-08-12,82.750000,83.089996,82.680000,82.919998,74.779419,3657100
2014-08-13,82.980003,83.389999,82.739998,83.120003,74.959778,4498700
2014-08-14,83.089996,83.970001,82.739998,83.860001,75.627136,4923000
2014-08-15,84.040001,84.089996,82.849998,83.690002,75.473824,5383500
2014-08-18,84.209999,84.620003,83.290001,83.589996,75.383652,9475300
2014-08-19,86.900002,88.989998,86.570000,88.230003,79.568138,18244600
2014-08-20,88.169998,91.070000,88.080002,90.750000,81.840714,13394200
2014-08-21,90.680000,91.809998,90.669998,91.150002,82.201454,8315900
2014-08-22,90.739998,91.330002,90.650002,91.029999,82.093231,6939200
2014-08-25,91.250000,91.820000,90.949997,91.199997,82.246544,7328700
2014-08-26,90.980003,91.830002,90.900002,91.629997,82.634323,5396400
2014-08-27,91.680000,91.959999,91.309998,91.870003,82.850784,4320200
2014-08-28,91.400002,92.730003,91.269997,92.510002,83.427933,7575700
2014-08-29,92.739998,93.519997,92.610001,93.500000,84.320747,7672200
2014-09-02,93.040001,93.309998,89.849998,91.150002,82.616753,20753200
2014-09-03,91.110001,91.309998,88.980003,89.000000,80.668030,15410400
2014-09-04,89.000000,90.750000,89.000000,89.930000,81.510971,8452200
2014-09-05,89.660004,91.639999,89.279999,91.610001,83.033699,7746400
2014-09-08,91.379997,91.779999,90.570000,90.820000,82.317635,4885900
2014-09-09,90.209999,90.330002,88.779999,88.930000,80.604576,8103000
2014-09-10,88.660004,89.400002,88.330002,89.250000,80.894615,6245400
2014-09-11,89.070000,89.419998,88.620003,89.220001,80.867432,4537800
2014-09-12,89.379997,89.500000,88.459999,88.839996,80.523003,4593700
2014-09-15,89.180000,89.540001,88.599998,89.379997,81.012466,3935000
2014-09-16,89.269997,90.739998,88.529999,90.269997,81.819115,5045100
2014-09-17,90.629997,91.540001,89.940002,91.220001,82.680199,7068800
2014-09-18,91.830002,92.440002,91.199997,92.089996,83.468758,6025100
2014-09-19,92.849998,93.750000,92.199997,92.339996,83.695343,12498800
2014-09-22,91.980003,92.419998,91.680000,91.889999,83.287460,5208800
2014-09-23,91.790001,92.220001,91.449997,91.489998,82.924911,6330000
2014-09-24,91.680000,93.110001,91.349998,93.019997,84.311691,6381400
2014-09-25,92.800003,93.000000,91.550003,91.900002,83.296532,4972100
2014-09-26,92.290001,93.000000,91.800003,92.839996,84.148537,4571400
2014-09-29,92.370003,93.169998,91.949997,92.879997,84.184792,3894600
2014-09-30,93.029999,93.209999,91.400002,91.739998,83.151512,6773000
2014-10-01,92.139999,92.339996,90.919998,91.019997,82.498901,5970700
2014-10-02,91.309998,92.459999,91.070000,92.239998,83.604721,5991200
2014-10-03,92.519997,93.680000,92.339996,93.540001,84.783005,6200100
2014-10-06,93.720001,94.250000,93.059998,93.260002,84.529228,4951700
2014-10-07,93.040001,93.559998,92.440002,92.470001,83.813171,5030300
2014-10-08,92.570000,94.160004,92.239998,94.089996,85.281509,6618900
2014-10-09,93.910004,94.790001,93.019997,93.070000,84.357010,6674700
2014-10-10,93.230003,93.860001,92.540001,92.550003,83.885681,6349800
2014-10-13,92.879997,92.940002,90.430000,90.599998,82.118248,7372200
2014-10-14,90.370003,90.529999,88.519997,90.099998,81.665054,9711300
2014-10-15,88.089996,89.169998,86.620003,87.849998,79.625687,12987500
2014-10-16,86.349998,89.720001,86.349998,88.879997,80.559265,7147600
2014-10-17,89.300003,91.120003,89.050003,90.239998,81.791924,7007300
2014-10-20,89.870003,92.070000,89.769997,91.849998,83.251213,5609400
2014-10-21,92.529999,94.370003,92.120003,94.199997,85.381210,6604700
2014-10-22,94.300003,94.989998,93.239998,93.339996,84.601723,5908900
2014-10-23,94.500000,95.519997,94.440002,94.800003,85.925049,5923100
2014-10-24,94.599998,95.190002,94.129997,94.989998,86.097260,4825200
2014-10-27,94.959999,95.680000,94.709999,95.470001,86.532326,4465100
2014-10-28,95.910004,96.599998,95.500000,96.589996,87.547470,5260100
2014-10-29,96.620003,97.250000,95.800003,96.419998,87.393379,4275400
2014-10-30,96.120003,97.800003,96.029999,97.519997,88.390411,4115800
2014-10-31,98.779999,99.260002,97.330002,97.519997,88.390411,6335900
2014-11-03,96.809998,96.830002,95.980003,96.089996,87.094276,7614200
2014-11-04,96.059998,96.180000,95.190002,95.959999,86.976440,5349600
2014-11-05,96.589996,96.849998,95.150002,95.779999,86.813309,5002700
2014-11-06,96.349998,97.510002,96.010002,97.290001,88.181931,4016900
2014-11-07,97.169998,97.750000,96.690002,97.650002,88.508224,3429600
2014-11-10,97.639999,98.169998,97.000000,98.160004,88.970505,3662300
2014-11-11,98.459999,98.750000,97.879997,98.139999,88.952347,3818400
2014-11-12,98.300003,98.699997,97.610001,98.489998,89.269600,4629400
2014-11-13,98.900002,99.360001,98.339996,99.000000,89.731850,3182800
2014-11-14,98.900002,99.000000,98.019997,98.239998,89.043022,4085500
2014-11-17,98.169998,98.949997,97.800003,98.029999,88.852654,8581600
2014-11-18,97.150002,97.709999,95.980003,95.980003,86.994591,10384400
2014-11-19,96.550003,97.309998,96.000000,96.699997,87.647171,6831100
2014-11-20,96.080002,97.970001,96.019997,97.570000,88.435715,4958800
2014-11-21,98.980003,99.099998,97.820000,98.279999,89.079247,6806800
2014-11-24,98.680000,98.900002,98.220001,98.400002,89.188019,5043600
2014-11-25,98.639999,98.870003,96.410004,97.010002,87.928154,7992000
2014-11-26,97.059998,97.709999,97.010002,97.699997,88.553566,4337900
2014-11-28,98.059998,99.800003,98.000000,99.400002,90.094406,3305800
2014-12-01,99.489998,99.610001,98.309998,98.879997,89.623070,4393700
2014-12-02,98.620003,99.000000,97.989998,98.160004,89.395401,4677700
2014-12-03,98.099998,98.739998,98.040001,98.589996,89.787018,4357200
2014-12-04,98.150002,99.110001,97.779999,98.949997,90.114868,5220000
2014-12-05,98.769997,99.680000,98.660004,99.639999,90.743263,4649100
2014-12-08,99.709999,100.949997,99.660004,100.430000,91.462723,6624300
2014-12-09,99.690002,99.980003,98.589996,99.639999,90.743263,5280500
2014-12-10,99.360001,100.230003,98.820000,98.940002,90.105782,5357000
2014-12-11,99.279999,101.400002,99.150002,100.269997,91.317001,6864000
2014-12-12,99.690002,101.250000,99.389999,99.779999,90.870758,5983300
2014-12-15,100.010002,101.239998,99.290001,100.050003,91.116646,5488300
2014-12-16,99.379997,100.230003,96.989998,97.059998,88.393631,7829300
2014-12-17,97.589996,99.139999,97.089996,98.940002,90.105782,6096400
2014-12-18,100.339996,100.690002,99.300003,100.669998,91.681290,6594000
2014-12-19,100.919998,102.000000,100.809998,101.930000,92.828781,12500600
2014-12-22,102.250000,103.570000,102.230003,103.500000,94.258606,5418900
2014-12-23,103.660004,104.199997,103.320000,103.760002,94.495392,4067700
2014-12-24,104.050003,104.379997,103.559998,103.559998,94.313240,1819000
2014-12-26,103.980003,104.320000,103.480003,103.750000,94.486275,2594900
2014-12-29,103.580002,104.800003,103.260002,104.529999,95.196632,3492700
2014-12-30,104.440002,104.739998,103.849998,104.269997,94.959854,2927800
2014-12-31,104.750000,106.019997,104.559998,104.970001,95.597351,5821600
2015-01-02,105.160004,105.660004,102.669998,103.430000,94.194855,4323700
2015-01-05,102.779999,102.779999,100.790001,101.260002,92.218628,5878100
2015-01-06,102.070000,102.070000,100.339996,100.949997,91.936302,4910100
2015-01-07,102.290001,104.470001,102.000000,104.410004,95.087357,5091000
2015-01-08,105.370003,106.989998,105.019997,106.720001,97.191093,6464600
2015-01-09,106.879997,106.879997,104.820000,104.889999,95.524490,5717100
2015-01-12,105.169998,105.290001,104.059998,104.419998,95.096451,4990400
2015-01-13,105.410004,106.040001,103.150002,103.730003,94.468063,5395200
2015-01-14,102.419998,103.410004,101.879997,102.639999,93.475388,5384400
2015-01-15,103.320000,103.650002,100.820000,101.010002,91.990936,6895000
2015-01-16,100.860001,104.309998,100.239998,104.120003,94.823257,6403800
2015-01-20,104.839996,104.949997,102.349998,103.250000,94.030937,5331300
2015-01-21,103.050003,104.059998,102.500000,103.529999,94.285934,5899200
2015-01-22,104.379997,106.309998,103.540001,106.070000,96.599121,5804100
2015-01-23,106.209999,106.480003,105.309998,105.370003,95.961632,4072300
2015-01-26,105.360001,106.500000,105.059998,106.360001,96.863235,4189700
2015-01-27,104.779999,105.809998,104.400002,105.160004,95.770386,4606500
2015-01-28,105.309998,107.430000,104.599998,104.739998,95.387878,4917300
2015-01-29,105.139999,107.739998,104.510002,107.620003,98.010742,6529300
2015-01-30,106.360001,106.860001,104.379997,104.419998,95.096451,7000000
2015-02-02,104.779999,105.000000,101.570000,104.430000,95.105568,5012800
2015-02-03,104.889999,107.320000,104.809998,107.239998,97.664665,5969200
2015-02-04,107.089996,109.000000,106.750000,108.410004,98.730194,6765200
2015-02-05,108.980003,109.339996,108.150002,108.989998,99.258408,4471800
2015-02-06,109.279999,109.739998,108.459999,109.040001,99.303947,4178800
2015-02-09,108.879997,109.459999,108.040001,108.339996,98.666451,4243800
2015-02-10,108.790001,110.849998,108.660004,110.669998,100.788406,5414400
2015-02-11,110.599998,110.800003,109.809998,110.309998,100.460541,4552900
2015-02-12,110.809998,112.199997,110.209999,112.160004,102.145370,4592200
2015-02-13,112.010002,112.389999,111.300003,111.889999,101.899467,5098600
2015-02-17,111.690002,112.230003,110.620003,112.000000,101.999649,6028600
